epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3194,1.46304,4.62855,3.47257,1.65909,0.00515,0.82124,0.07084,0.0234,0.00378,0.66193,0.03063,0.01078,1.25836,3.31659,3.75494,1.58401,8.574e-05,8.574e-05,8.574e-05
2,108.477,1.32688,3.57096,3.15694,1.55561,0.00598,0.83073,0.15103,0.06342,0.00546,0.74301,0.07187,0.03464,1.23159,3.1787,3.70194,1.52911,0.000182092,0.000182092,0.000182092
3,161.679,1.25249,3.36881,2.75597,1.55171,0.00634,0.83073,0.15798,0.09224,0.00557,0.71645,0.10553,0.05674,1.22223,3.20324,3.62526,1.57077,0.000274482,0.000274482,0.000274482
4,218.982,1.29585,3.31759,2.71523,1.56226,0.00592,0.79564,0.20935,0.1108,0.00492,0.68089,0.11138,0.05973,1.18082,3.03746,3.54278,1.53518,0.000362912,0.000362912,0.000362912
5,275.141,1.20616,3.09841,2.5157,1.49318,0.89718,0.04505,0.226,0.12329,0.94329,0.05405,0.16032,0.07102,1.16475,3.3214,3.31183,1.56547,0.00044738,0.00044738,0.00044738
6,328.085,1.23626,2.93927,2.42811,1.48132,0.79951,0.10811,0.15712,0.09717,0.81933,0.12188,0.13173,0.06567,1.23909,3.02201,3.18207,1.5466,0.000527887,0.000527887,0.000527887
7,381.876,1.16868,2.71513,2.22168,1.40458,0.85648,0.16216,0.18342,0.10501,0.84593,0.15315,0.14509,0.07508,1.27149,3.64242,3.21397,1.67157,0.000604433,0.000604433,0.000604433
8,435.654,1.21486,2.8736,2.22804,1.46699,0.80408,0.15315,0.16243,0.09522,0.79671,0.14414,0.14962,0.0703,1.43154,3.88933,3.2879,1.92531,0.000677017,0.000677017,0.000677017
9,489.325,1.27604,2.71021,2.18916,1.48713,0.89733,0.13514,0.2479,0.1335,0.9288,0.15315,0.22938,0.10159,1.32256,3.22331,2.94719,1.68254,0.000745641,0.000745641,0.000745641
10,542.5,1.20595,2.71985,2.12027,1.44595,0.67665,0.23281,0.28893,0.16856,0.57324,0.16195,0.19844,0.10607,1.32145,3.51392,2.73914,1.64507,0.000810303,0.000810303,0.000810303
11,595.309,1.19412,2.4944,1.99942,1.44773,0.23619,0.35164,0.29624,0.15933,0.19574,0.28146,0.20806,0.09343,1.33048,3.98334,2.75696,1.60059,0.000871004,0.000871004,0.000871004
12,648.007,1.19864,2.58405,2.01317,1.43065,0.3954,0.36567,0.28187,0.12733,0.38862,0.30146,0.24115,0.10328,1.36735,3.08859,2.82936,1.73988,0.000927744,0.000927744,0.000927744
13,702.959,1.21268,2.43693,1.99644,1.44715,0.37624,0.4162,0.29531,0.13822,0.2937,0.35141,0.24379,0.11841,1.31423,2.94307,2.71426,1.70039,0.000980523,0.000980523,0.000980523
14,761.458,1.23206,2.39881,1.96574,1.45382,0.2748,0.37179,0.25205,0.12181,0.8034,0.16216,0.17544,0.10242,1.29268,3.24285,2.81847,1.67255,0.00102934,0.00102934,0.00102934
15,817.688,1.19814,2.49865,1.92663,1.4173,0.1629,0.38103,0.30675,0.17142,0.7099,0.22475,0.19861,0.11228,1.26745,3.80624,2.67343,1.61414,0.00103288,0.00103288,0.00103288
16,873.301,1.2024,2.53185,1.95523,1.46329,0.44823,0.34527,0.37398,0.20121,0.37933,0.3761,0.29021,0.15738,1.378,3.64533,2.53732,1.67091,0.00100459,0.00100459,0.00100459
